epoch,train_loss,eval_loss,eval_top1
0,1.2883063547238875,1.2367177845513853,44.10851822048512
1,1.0990150086604464,0.985789045436257,58.294056788136565
2,1.0628642554051084,0.9429821764714335,58.21358776870905
3,1.0478219757301457,0.920047944627256,58.32854351074836
4,1.0290662887091064,0.9269841316171399,58.340039084952295
5,1.0178901967752783,0.9054655730004886,58.78836647890562
6,1.0067354423333224,0.9101399720873089,57.1789860921093
7,1.0007336268088065,0.9070934765310668,58.71939303368203
8,0.9948546009548228,0.8985422399485573,60.24830440455901
9,0.9880964480017334,0.8772984974027187,60.466720313556664
10,0.9839542214046596,0.8637186206747902,60.29428670137473
11,0.9800267039673607,0.8496765634879009,61.20243706173123
12,0.9763384147055448,0.8792652200728891,60.63915392573859
13,0.973448405268721,0.8780385530574635,60.61616277733073
14,0.9693571112471961,0.8953969543015001,60.823083113001495
15,0.9639428013503685,0.8888424001681228,60.73111852112413
16,0.963372375360212,0.914276014293579,55.10978273364755
17,0.9619007892095006,0.8510525382542174,60.91504770663295
18,0.9558608577951009,0.9092514787080411,60.133348660765606
19,0.9542167138917411,0.9173128062492816,60.07587078974595
20,0.9526917693013451,0.8575851031727785,61.60478216062292
21,0.9469448260536653,0.8730505234976721,60.85756983561329
22,0.9459229149174676,0.8712279024528682,61.66226003164258
23,0.9415122869057948,0.9126397262346965,61.32888837972857
24,0.9378940775593001,0.8945151966102426,59.570065526527046
25,0.9368677753048646,0.8949703045967927,61.00701230201848
26,0.9344600144871577,0.8706031112591964,61.25991493450498
27,0.9289511507966809,0.9022734743217611,61.20243706348532
28,0.9283199748568611,0.8656915878890533,61.27141050870891
29,0.9238777056448669,0.8760264627220082,61.558799863807195
30,0.9227323190448872,0.9155419377406886,60.22531325615114
31,0.9221095763430579,0.9175168975959881,60.3862512932521
32,0.9191825184868688,0.8708423123796557,59.765490286239796
33,0.9155197044274298,0.8756431740088659,62.466950225917785
34,0.9117738371758567,0.9448041800781699,55.96045522649256
35,0.9076354656557376,0.8785950050831992,61.69674675425437
36,0.9058661688808705,0.8686147922893436,60.74261409532806
37,0.902971286196933,0.8897258979121163,60.89205655997917
38,0.899110644054471,0.8913881815169129,62.30601218706274
39,0.8961013938994205,0.8415364845276756,62.443959077509916
40,0.8962003791181746,0.8684384856556788,62.581905967080054
41,0.8916411933382377,0.8986294671082883,59.92642832684892
42,0.889441088536829,0.908874252114108,62.55891481954924
43,0.8861453299293254,0.9062723400319003,61.27141050870891
44,0.8857842801884803,0.8955045569174618,62.1450741482077
45,0.8789245472423318,0.9709875394262272,61.13346361826173
46,0.8749069737832188,0.932653377790371,59.19071157604322
47,0.8734161069742217,0.9306764112613519,61.903667089925136
48,0.8695784016117694,0.9041118681026554,62.961259916686835
49,0.8648030355684967,0.9088005243957639,62.08759627718804
