epoch,train_loss,eval_loss,eval_top1
0,0.7582188898993714,0.9641136014197034,62.938268766524885
1,0.8912966975282686,0.980335832423267,59.24818944793992
2,0.9636928171520198,0.8780527821983849,59.213702725328126
3,0.9830596323922122,0.9287565156555351,59.75399471203587
4,0.9726188319857167,0.9494098049838703,58.86883549833314
5,0.9605869731794329,0.9089744174078918,60.121853087438716
6,0.9499853768578811,0.9938049070834292,56.305322452610504
7,0.9461589829180397,0.9526645315284085,59.5470743763651
8,0.9390303649355695,1.0720497900514112,56.029428669962066
9,0.931597158091298,0.9026730128822278,61.007012301141444
10,0.9280855296294575,0.9125944006674618,58.512472699765354
11,0.9236462348421633,0.9688384059051328,58.55845499482699
12,0.921390306255381,0.8922543629296471,61.60478216062292
13,0.9161094132665946,0.8967431096156886,60.35176457151734
14,0.9129072114737256,0.9384853188944131,60.409242443414044
15,0.9084209322783738,0.9267745394585585,58.167605473647406
16,0.9061614255256066,0.9801101728422448,55.99494194735027
17,0.9062872200360781,0.9005387540054891,60.91504770838703
18,0.9004495461393437,0.9302603702652604,58.661915162662375
19,0.8980584589290754,0.9495423998088861,59.983906197868585
20,0.8976661152932872,0.9225705720485113,59.93792390017581
21,0.894105058214228,0.9077988714579261,61.55879986205311
22,0.8911278966948545,0.8940851790615301,62.076100701230025
23,0.8884131214789086,0.9089775045982297,61.68525118005044
24,0.8845221893992742,0.9292815064051902,59.78848143464766
25,0.884055746181801,0.9263398069282389,60.43223359182191
26,0.8808206573835679,0.9166476009275492,61.15645476579255
27,0.8779249038965244,0.9828388702185596,60.328773423986526
28,0.8747545050229931,0.910348834546356,60.76560524198184
29,0.8743542557977848,0.8790111583407576,62.17956086906541
30,0.8704308603960976,0.9434834239208529,60.92654328259096
31,0.8713289503045296,0.9195847538150936,60.570180480515
32,0.8683419211154507,0.9014429359247471,60.37475572080225
33,0.8653858741318663,0.8936001533940683,62.915277618117024
34,0.8604227852685417,0.9435671148443787,56.7766409949717
35,0.8579505087280196,0.916447326470715,60.88056098577524
36,0.8575623121724744,0.926120616414243,60.91504770750999
37,0.8547416813648832,0.9851026226972928,59.45510978361069
38,0.8488186827212773,0.9113138341152719,61.61627773394981
39,0.8487168778484258,0.8890098381459076,61.99563168180251
40,0.8477357656182352,0.9347636828766237,61.46683527017574
41,0.8427369581405365,0.9317640564827854,59.8804460300332
42,0.8402279070998568,0.9580234449092568,62.12208299979984
43,0.8385658594710451,0.9718305669114266,60.846074261409356
