epoch,train_loss,eval_loss,eval_top1,eval_event_AP
0,0.4797013023501439,1.1924718919739339,38.00436831819749,0.09204209851141466
1,0.4561885103046275,1.0232177933463695,58.144614323485456,0.1373644358386678
2,0.4495152460338748,1.0380449550482636,44.07403149787332,0.1265302544638673
3,0.4473416509466692,1.002644017655653,57.5008621680653,0.15920719554306048
4,0.4441976785436773,0.9470501983696078,57.972180710426485,0.1861433871831659
5,0.44413439568182983,1.0677590629453975,57.99517185883435,0.14863677858052024
6,0.44387544355975517,1.1669831351036724,52.592251982986554,0.16257726546226703
7,0.44289147683706215,1.0548606078670495,58.271065639728704,0.15430242646898684
8,0.4425913956713419,0.9657920033565293,58.21358776870905,0.17528418463859144
9,0.4426799090497607,0.9543998018600897,58.018163007242215,0.1557191332251708
10,0.44279115107816946,0.9982845741300038,56.99505690309231,0.15733545614781289
11,0.4429164149354126,0.9702678939531227,58.32854351074836,0.13004780634624538
12,0.442504110607838,1.1543152814953475,55.55811012760088,0.11688155190055853
13,0.4425357914217024,1.0416534260396697,58.167605471893324,0.16830814177117406
