epoch,train_loss,eval_loss,eval_top1,eval_event_AP
0,0.4777859247510908,1.2778178301744454,29.486147833084264,0.0968026155057119
1,0.4588578157475841,1.0687874700710929,58.294056788136565,0.09445384354270736
2,0.4546402833667058,0.9535672654501528,58.11012760087366,0.14312821939598322
3,0.45252057612230545,0.9904628292776165,58.3055523623405,0.10445517840863122
4,0.45016232361996933,0.969463772438822,58.23657891711691,0.14462127235951927
5,0.4495524332045635,1.0044245824195528,58.271065639728704,0.17947343247848246
6,0.44903459752820896,1.0023111895262915,58.294056788136565,0.14549719099797653
7,0.4494426958308434,1.0470592228211621,58.294056788136565,0.11419274144697217
8,0.44916998365686495,1.0731467293903654,55.76503046327164,0.11133272407887003
9,0.4497042247478235,0.9923685216152719,55.89148177951488,0.11762062349375875
